Platform,Category,CR Trades Served,API Docs Link,API Access Model,Marketplace Link,Partner Application Link,Market Size / Reach,Priority,Notes
Leap (SalesPro),Roofing/remodel sales,"Roofing, GC, Deck & Fence",https://leaptodigital.com/howto/api-documentation/ (api.leaptodigital.com),Open API + webhooks for appointments,https://leaptodigital.com/partners/,https://leaptodigital.com/partners/ (partner program application),Mid-market roofing/remodel sales platform,2 - Slow burn,Public partner program explicitly for CRMs/marketing companies. Straightforward application.
Service Fusion,FSM/CRM,"HVAC, Plumbing, Electrical, Appliance",https://docs.servicefusion.com/ (see also https://servicefusion.zendesk.com/hc/en-us/articles/360035145811),Open REST/JSON API - but customer must be on PRO plan,https://www.servicefusion.com/integrations (verify),Contact via servicefusion.com - they state they want a partner ecosystem,Mid-market FSM (EverCommerce),2 - Slow burn,Publicly states goal of building SaaS partner ecosystem. PRO-plan gate limits reach to their upper tier.
CallRail,Call tracking / attribution,All 17,https://apidocs.callrail.com/,Open REST API v3 + webhooks,https://www.callrail.com/integrations (verify),https://www.callrail.com/partners/technology (tech partner application),"220,000+ businesses (per CallRail partner page)",2 - Slow burn,Formal Technology Partner application exists. Positioning: 'CallRail tells you which ad drove the call; we recover the ones who never called.' Also agency partner program via PartnerStack.
Mailchimp,Email marketing,All 17 (low end),https://mailchimp.com/developer/,Fully open API + OAuth + app directory,https://mailchimp.com/integrations/,https://mailchimp.com/developer/ (build & list),Millions of SMBs,2 - Slow burn,You already have Klaviyo; Mailchimp rounds out the budget shops. Trivial build; real directory listing available.
PestPac (WorkWave),Pest FSM (enterprise),Pest Control,WorkWave APIs are gated - contact WorkWave partner team,Gated,https://www.workwave.com/ (integrations by product),WorkWave partner/BD contact required,Serves 60% of top-100 pest control operators (per PestPac),3 - On demand,Enterprise pest incumbent. Only pursue with pest-vertical traction; expect a formal BD process.
GorillaDesk,Pest/Lawn/Pool FSM (SMB),"Pest Control, Lawn Care",API included per vendor materials; docs not public - contact GorillaDesk,Semi-open (API key),https://gorilladesk.com/integrations/ (verify),Contact via gorilladesk.com,SMB pest/lawn operators; 4.8 G2/GetApp ratings,3 - On demand,Small friendly team; likely easy co-marketing partner if pest/lawn demand appears.
Briostack,Pest FSM,Pest Control,No public API docs - integrations via partners (e.g. Voice for Pest),Closed/partner-only,N/A,Contact via briostack.com,"3,700 pest companies (per FieldRoutes comparison)",3 - On demand,Zapier/middleware path only for now.
Service Autopilot,Lawn/Snow FSM,"Lawn Care, Cleaning (some)",API access gated to members; primary path is Zapier - contact SA support,Gated,https://www.serviceautopilot.com/integrations/ (verify),Contact via serviceautopilot.com,Large lawn-care installed base (Xplor-owned),3 - On demand,Careful: 'Autopilot' apiary docs found in searches are a DIFFERENT product (Ortto). SA's own API is member-gated; Zapier is the practical path.
RealGreen (WorkWave),Lawn FSM (enterprise),Lawn Care,Gated - WorkWave BD contact,Gated,N/A,WorkWave partner contact,Legacy leader in chemical lawn care,3 - On demand,Same WorkWave umbrella as PestPac - one BD relationship could cover both.
Roofr,Roofing quoting/CRM,Roofing,Partner/integration program - contact Roofr,Semi-open,https://roofr.com/integrations (verify),Contact via roofr.com,Fast-growing roofing quote platform,3 - On demand,Instant-quote widget audience overlaps yours conceptually (website visitor -> quote). Co-marketing angle as much as integration.
CompanyCam,Photo documentation,"Roofing, GC, all exterior trades",https://help.companycam.com/ (API key retrieval article; docs at docs.companycam.com - verify),Open API + famously partner-friendly,https://help.companycam.com/en/collections/3768822-integrate,Contact via companycam.com partners,Near-universal in roofing/exteriors,3 - On demand,Not a lead destination - photos not contacts. Value = co-marketing to roofing audience only.
FieldPulse,FSM/CRM (SMB),"HVAC, Plumbing, Electrical, Handyman, Garage Door",https://help.fieldpulse.com/integrations-partners/developer-api/fieldpulse-api,Open API (Postman reference); webhooks limited to job statuses,https://www.fieldpulse.com/integrations (verify),Contact via fieldpulse.com,Growing SMB FSM,3 - On demand,Easy technical lift; limited webhooks. Good quick logo add.
Kickserv,FSM/CRM (budget),"Handyman, Appliance, Cleaning, HVAC",https://help.kickserv.com/article/4-developer-api,Open API v2 (XML/REST; basic auth via employee API token),N/A (no marketplace),Contact via kickserv.com,Solo/small operators (~$49/mo tier),3 - On demand,Old-school XML API but workable. Low effort; low ceiling.
DripJobs,Painter CRM/follow-up,Painting,NO public API yet (top feature request on their board),Closed (Zapier only),https://zapier.com/apps/dripjobs/integrations,Contact founder directly (small company),Growing painter-specific CRM,3 - On demand,Small enough for a handshake partnership deal; Zapier covers the plumbing meanwhile.
Podium,Reviews/SMS inbox,All 17,podium.com developer docs (verify current status - was partner-gated),Partner-gated,https://www.podium.com/integrations (verify),Contact Podium partnerships,Large SMB messaging base; $399+/mo tier,3 - On demand,Lead-inbox destination; API access historically required partnership approval.
Square Appointments,Booking/POS,"Mobile Car, Cleaning, Locksmith",https://developer.squareup.com/,Fully open API + OAuth + app marketplace,https://squareup.com/us/en/app-marketplace,https://developer.squareup.com/ (partner path via App Marketplace submission),Millions of sellers,3 - On demand,Broad but shallow fit; listing = discoverability among micro-operators.
Yardbook,Lawn FSM (free/SMB),Lawn Care,No public API,Closed,N/A,N/A,Huge solo-operator base (free product),4 - Skip for now,No integration surface; users export CSVs. Target these users directly with your own funnel instead.
ArboStar,Tree FSM,Tree Removal,No public API docs found - contact vendor,Unknown/gated,N/A,Contact via arbostar.com,Growing tree-care platform (4.9 rating),4 - Skip for now,Zapier path; revisit on demand.
Arborgold,Tree FSM,Tree Removal,No public API docs found - contact vendor,Unknown/gated,N/A,Contact via arborgold.com,Established tree/lawn platform,4 - Skip for now,Zapier path; revisit on demand.
Buildertrend,Construction management,"General Contractors, Deck & Fence",NO PUBLIC API (only unofficial reverse-engineered wrappers exist),Closed,https://buildertrend.com/integrations/ (curated only),Enterprise BD only,"Remodeler default; pricing $499-$1,099+/mo",4 - Skip for now,Confirmed closed system - JobTread actively markets against this. Serve Buildertrend users via Zapier email-parse or direct CSV.
Houzz Pro,GC/remodel CRM,General Contractors,No public API,Closed,N/A,N/A,Large remodeler/designer base,4 - Skip for now,No integration surface.
FieldEdge (Xplor),HVAC/Plumbing FSM,"HVAC, Plumbing",No strong public API program - contact vendor,Gated,N/A,Xplor BD contact,Established HVAC/plumbing mid-market,4 - Skip for now,Weak API story; their users reachable via Zapier/QuickBooks-adjacent flows.
PaintScout,Painting estimating,Painting,No public API docs; Zapier connector exists,Zapier only,https://zapier.com/apps (PaintScout listed),Contact via paintscout.com,Painter estimating standard,4 - Skip for now,Estimating not lead-intake; Zapier suffices.
ZenMaid,Cleaning FSM,House Cleaners,No public API; Zapier connector,Zapier only,N/A,Contact via zenmaid.com,Maid-service scheduling leader (SMB),4 - Skip for now,Zapier path only.
BookingKoala,Cleaning booking platform,House Cleaners,https://help.bookingkoala.com/help/integrations (Make/Zapier guides),Zapier/Make (1800+ apps via Make),N/A,Contact via bookingkoala.com,Cleaning booking/growth platform,4 - Skip for now,Their users are booking-widget-centric - conceptually adjacent to your consent banner; possible co-marketing later.
NiceJob,Reviews,All 17,Zapier + limited API,Semi-open,N/A,Contact via nicejob.com,SMB review automation,4 - Skip for now,Not a lead destination.
Broadly,Reviews,All 17,No public API,Closed,N/A,Contact via broadly.com,SMB reputation ($199-399/mo),4 - Skip for now,Not a lead destination.
QuoteIQ,FSM/CRM (pressure washing origin),"Power Washing, Cleaning, Lawn",No public developer program found - contact vendor,Unknown,N/A,Contact via myquoteiq.com,Fast-growing SMB all-in-one ($29.99+/mo),4 - Skip for now,Aggressive marketer; may welcome co-promotion but no API surface confirmed.
ResponsiBid,Instant quoting,"Power Washing, Cleaning, Window",Zapier + native integrations (Jobber/HCP),Semi-open,N/A,Contact via responsibid.com,Instant-quote widget for exterior cleaning,4 - Skip for now,Conceptually adjacent (website conversion tools); co-marketing possibility.
Markate,FSM/CRM (budget),"Handyman, Cleaning, Power Washing",API available per vendor materials - verify at markate.com,Semi-open,N/A,Contact via markate.com,Budget SMB FSM,4 - Skip for now,Low priority.
Urable,Auto detailing FSM,Mobile Car Services,API/webhooks available - verify at urable.com,Semi-open,N/A,Contact via urable.com,Leading detailing platform,4 - Skip for now,Pursue only if mobile-car trade shows traction.
Orbisx,Auto detailing FSM,Mobile Car Services,Zapier connector,Zapier only,N/A,Contact via orbisx.ca,Detailing/PDR CRM,4 - Skip for now,Zapier path.
Mobile Tech RX,Detailing/PDR estimating,Mobile Car Services,No public API,Closed,N/A,N/A,PDR/detailing techs,4 - Skip for now,No surface.
Rossware ServiceDesk,Appliance repair dispatch (legacy),Appliance Repair,Limited legacy API - contact vendor,Gated,N/A,Contact via rossware.com,Legacy appliance-repair install base,4 - Skip for now,Aging but loyal user base; not worth direct effort.
Estimate Rocket,Painting/contractor estimating,"Painting, GC",Zapier connector,Zapier only,N/A,Contact via estimaterocket.com,SMB estimating,4 - Skip for now,Zapier path.
Bolster (CostCertified),Interactive estimates,"Deck & Fence, GC, Roofing",No public API program found - contact vendor,Unknown,N/A,Contact via bolsterbuilt.com,Growing interactive-estimate platform,4 - Skip for now,Revisit if deck/fence vertical grows.
